,company,time,username,,sentiment,date
0,TCS,6:15,SahaBaisakhi1,,0.4767,4/15/2018
0,TCS,6:24,saidinsin,,0.1027,4/15/2018
0,TCS,6:26,TCS_Digital,,0,4/15/2018
0,TCS,7:08,GCNIndia,,0.4939,4/15/2018
0,TCS,7:45,mojtaba_arvin,,0.4767,4/15/2018
0,TCS,8:09,shivalika_malik,,0.8481,4/15/2018
0,TCS,9:10,AI_Today,,0,4/15/2018
0,TCS,9:39,ReshmaRC,,0,4/15/2018
0,TCS,9:43,ISGW2018,,0.9001,4/15/2018
0,TCS,9:54,suri_reena,,0.9001,4/15/2018
0,TCS,10:08,jpenciol,,0,4/15/2018
0,TCS,10:09,TheProQuotient,,-0.34,4/15/2018
0,TCS,10:19,iaacharya,,-0.34,4/15/2018
0,TCS,10:28,Gulf_eSoft,,0,4/15/2018
0,TCS,10:32,nituabhinav,,0.8481,4/15/2018
0,TCS,10:46,tmathew22,,0.4926,4/15/2018
0,TCS,10:50,HexaTata,,0.2023,4/15/2018
0,TCS,11:02,y_ychauhan,,0.4767,4/15/2018
0,TCS,11:07,rejipillai,,0.9001,4/15/2018
0,TCS,11:30,world1consult,,0.3182,4/15/2018
0,TCS,11:50,mojtaba_arvin,,0.4767,4/15/2018
0,TCS,11:50,eXamScriptsCorp,,0.4926,4/15/2018
0,TCS,11:52,gotbot,,0,4/15/2018
0,TCS,12:13,basantwadhwa,,0.2023,4/15/2018
0,TCS,12:15,TIFAC_India,,0.4767,4/15/2018
0,TCS,12:17,iBharatShah,,0.4767,4/15/2018
0,TCS,12:24,pushne_savitur,,0.4767,4/15/2018
0,TCS,12:50,Think_Unthink,,0.4767,4/15/2018
0,TCS,1:00,CCOTRONIS,,0.4767,4/15/2018
0,TCS,1:01,karen_iles,,0.8016,4/14/2018
0,TCS,1:33,tcs_na,,0.4939,4/14/2018
0,TCS,2:44,FutuReCybernize,,0,4/14/2018
0,TCS,2:52,swetha1106,,-0.5836,4/14/2018
0,TCS,2:55,evankirstel,,0,4/14/2018
0,TCS,2:59,howethomas,,0,4/14/2018
0,TCS,3:01,ITCrowdsource,,0,4/14/2018
0,TCS,3:01,Bruijns,,0,4/14/2018
