,company,date,time,username,,sentiment
0,HERO,4/15/2018,11:10,DhimanHT,,0.6908
0,HERO,4/15/2018,11:04,CPDaniel,,0.3382
0,HERO,4/15/2018,11:04,SwatiKJain,,0.6908
0,HERO,4/15/2018,11:04,FIFAgent,,0.6908
0,HERO,4/15/2018,11:04,JoeSport67,,0.6908
0,HERO,4/15/2018,11:04,Lord_Shonde,,0.6908
0,HERO,4/15/2018,11:04,armawan1990,,0.6908
0,HERO,4/15/2018,11:04,fifa2k14brazil,,0.6908
0,HERO,4/15/2018,11:03,DebaSpeak,,0.6908
0,HERO,4/15/2018,11:02,homeindiafootie,,0.6908
0,HERO,4/15/2018,11:02,FIFA24x7,,0.6908
0,HERO,4/15/2018,11:01,HeroMotoCorp,,0.6908
0,HERO,4/15/2018,10:56,Bot_Football,,0.8519
0,HERO,4/15/2018,10:52,SportIllustrato,,0.6908
0,HERO,4/15/2018,10:52,parishatzi,,0.6908
0,HERO,4/15/2018,10:51,Arpan1746,,0.2732
0,HERO,4/15/2018,10:50,KushaalPatel,,0.6908
0,HERO,4/15/2018,10:49,usmnt_com,,0.6908
0,HERO,4/15/2018,10:49,daguvasu,,0.6908
0,HERO,4/15/2018,10:47,SuryaPrakash7,,0.2732
0,HERO,4/15/2018,10:47,PrimaScriptura,,0.6908
0,HERO,4/15/2018,10:46,SoccerFlow,,0.6908
0,HERO,4/15/2018,10:45,WorldNews7777,,0.6908
0,HERO,4/15/2018,10:42,indianfootynet,,0.2732
0,HERO,4/15/2018,10:42,thesportscaffe,,0.2732
0,HERO,4/15/2018,10:40,aditi03chauhan,,0.2732
0,HERO,4/15/2018,10:34,ThatUnitedLady,,0.2732
0,HERO,4/15/2018,10:33,IndianFootball,,0.2732
0,HERO,4/15/2018,10:17,TenNewsDotIn,,0.4939
0,HERO,4/15/2018,9:56,TenNewsDotIn,,0.4939
0,HERO,4/15/2018,9:51,bharatendukabi,,0.5574
0,HERO,4/15/2018,9:50,HeroMotoCorp,,0.5574
0,HERO,4/15/2018,9:19,TV_TradingIdeas,,0
0,HERO,4/15/2018,9:19,bombaytrader,,0
0,HERO,4/15/2018,8:43,cycadaily,,0
0,HERO,4/15/2018,7:55,Hero_Cycles,,0
0,HERO,4/15/2018,6:41,infoversant,,0.6597
